Episode,Reward,Length,Success_Rate,Epsilon,Loss
0,-26.400000000000002,18,25.0,0.999802,0.0
100,-122.69999999999982,100,35.0,0.9800019999999968,0.5974727869033813
200,-15.2,4,20.0,0.9602019999999937,1.0289212465286255
300,-21.000000000000007,18,30.0,0.9404019999999905,0.8359174728393555
400,14.7,4,25.0,0.9206019999999874,1.1240462064743042
500,-37.4,30,25.0,0.9008019999999842,0.9652088284492493
600,-12.800000000000036,34,20.0,0.8810019999999811,0.7826961874961853
700,-10.2,3,15.0,0.8612019999999779,0.4937267303466797
800,-28.00000000000003,39,30.0,0.8414019999999748,0.6283231377601624
900,-21.20000000000001,20,35.0,0.8216019999999716,0.4305528700351715
1000,9.7,5,30.0,0.8018019999999685,0.6504963040351868
1100,-127.59999999999982,100,40.0,0.7820019999999653,0.5712884664535522
1200,-25.999999999999996,14,35.0,0.7622019999999622,0.9260551929473877
1300,15.0,1,30.0,0.742401999999959,0.8033036589622498
1400,-21.899999999999995,22,25.0,0.7226019999999559,0.4748627841472626
1500,9.500000000000002,7,20.0,0.7028019999999527,0.936715304851532
1600,-10.1,2,50.0,0.6830019999999496,0.8628644943237305
1700,15.0,1,40.0,0.6632019999999464,0.30819714069366455
1800,-10.3,4,40.0,0.6434019999999433,0.6180460453033447
1900,-22.199999999999996,25,40.0,0.6236019999999401,0.5498950481414795
2000,-15.1,3,40.0,0.603801999999937,0.2577064335346222
2100,14.8,3,40.0,0.5840019999999339,0.6531524062156677
2200,-38.900000000000034,50,35.0,0.5642019999999307,0.4614975154399872
2300,-21.500000000000014,23,40.0,0.5444019999999276,0.2793979048728943
2400,2.600000000000005,27,25.0,0.5246019999999244,0.3357749283313751
2500,-10.0,1,55.0,0.5048019999999213,0.2621901035308838
2600,8.400000000000004,18,50.0,0.48500199999992233,0.1917441487312317
2700,-28.500000000000004,39,60.0,0.46520199999992473,0.22033338248729706
2800,14.4,7,65.0,0.44540199999992713,0.31299492716789246
2900,-10.7,8,65.0,0.42560199999992954,0.19881784915924072
3000,-59.000000000000114,100,50.0,0.40580199999993194,0.2793385684490204
3100,14.9,2,55.0,0.38600199999993434,0.38271084427833557
3200,1.4000000000000128,39,60.0,0.36620199999993674,0.2463371604681015
3300,9.400000000000002,8,60.0,0.34640199999993915,0.2816525995731354
3400,-78.60000000000007,100,50.0,0.32660199999994155,0.17291539907455444
3500,9.200000000000003,10,75.0,0.30680199999994395,0.167120099067688
3600,15.0,1,40.0,0.28700199999994636,0.13247303664684296
3700,-10.3,4,40.0,0.26720199999994876,0.143104687333107
3800,-63.90000000000011,100,65.0,0.24740199999995077,0.15761061012744904
3900,14.0,11,65.0,0.2276019999999504,0.1380470246076584
4000,15.0,1,55.0,0.20780199999995003,0.13572362065315247
4100,15.0,1,35.0,0.18800199999994965,0.052327897399663925
4200,9.100000000000003,11,50.0,0.16820199999994928,0.20768693089485168
4300,10.0,2,50.0,0.1484019999999489,0.23046545684337616
4400,14.4,7,75.0,0.12860199999994854,0.045930515974760056
4500,14.7,4,75.0,0.10880199999994816,0.09010648727416992
4600,-9.99999999999998,100,75.0,0.08900199999994779,0.07064897567033768
4700,15.0,1,60.0,0.06920199999994742,0.035890132188797
4800,14.6,5,65.0,0.04940199999994751,0.028090618550777435
4900,15.0,1,65.0,0.0296019999999478,0.024272426962852478
