Year,Algo,Reward,GDP,Annual_CO2,Support,Investment,Risk,Atm_CO2,Temperature,Tax,GreenSub,CapStrict,IndSub,MixFund
1,PPO,2.684084860392768,101.75082248268241,97.60842070609331,55.07855995433117,25.159200817346573,19.987984466809564,414.88042103530466,0.9999971181639549,0.0,1.0,0.0,1.0,0.15920082
2,PPO,9.053116422977624,103.6281073684544,94.87469862252473,58.58430910806349,30.36489462852478,19.962234384918926,414.6241559664309,0.9999909394137917,0.0,1.0,0.0,1.0,0.20569381
3,PPO,15.973992802058037,105.15971424791208,91.95076759189367,63.498809890228955,35.57903462648392,19.921793995374266,414.22169434602563,0.9999812280385852,0.0,1.0,0.0,1.0,0.21414
4,PPO,23.424347844576893,106.94459915843976,88.844342726171,68.59448130918057,40.79964351654053,19.86574621141069,413.6639114823342,0.9999677531588637,0.0,1.0,0.0,1.0,0.22060889
5,PPO,30.63350539368189,108.291816246364,85.55306911900638,73.70678133605723,46.02725748717785,19.793162008521694,412.9415649382845,0.9999502757346623,0.0,1.0,0.0,1.0,0.22761397
6,PPO,38.24787169781973,110.19431086119478,82.04469033941625,78.07768242091868,51.26982846856117,19.702950172090695,412.04379945525534,0.999928511328258,0.0,1.0,0.0,1.0,0.24257098
7,PPO,45.695687352429616,111.33874165645011,78.3631096857786,83.27780673093189,56.516350999474525,19.594239918539206,410.9619549395443,0.9999022212292388,0.0,1.0,0.0,1.0,0.24652253
8,PPO,53.05189651629932,112.97078627577534,74.54094170123336,87.0306335500981,61.75870272517204,19.466324166458527,409.68900202460594,0.9998711981998966,0.0,1.0,0.0,1.0,0.24235173
9,PPO,60.73196247814404,114.39367843493012,70.67069993808863,91.74555215861388,66.97395847737789,19.318960490021983,408.2225370215104,0.9998353393935473,0.0,1.0,0.0,1.0,0.21525575
10,PPO,68.10601021348506,116.07877194233926,67.40293847847728,96.52242352806785,72.00089215114713,19.155175072054192,406.59268394543426,0.9997953338755384,0.0,1.0,0.0,1.0,0.026933674
11,PPO,74.82992520400106,117.71778782859506,64.09291171394287,100.0,77.00089215114713,18.974754553255686,404.7973295311314,0.9997510800071272,0.0,1.0,0.0,1.0,0.0
12,PPO,80.08722985486797,119.47550362260674,60.63288494940846,100.0,82.00089215114713,18.776944091651544,402.82897377860183,0.999702335689568,0.0,1.0,0.0,1.0,0.0
13,PPO,86.27834801634275,122.01340392996319,57.022858184874046,100.0,87.00089215114713,18.560988643732028,400.68011668784555,0.9996488487473736,0.0,1.0,0.0,1.0,0.0
14,PPO,92.68164538915745,124.60970339752582,53.26283142033963,100.0,92.00089215114713,18.32613294014374,398.34325825886253,0.9995903557128744,0.0,1.0,0.0,1.0,0.0
15,PPO,98.67418123791701,126.64131018547164,49.352804655805215,100.0,97.00089215114713,18.071621458747074,395.8108984916528,0.9995265804790898,0.0,1.0,0.0,1.0,0.0
16,PPO,104.74271715987035,128.59483473007583,45.2927778912708,100.0,100.0,17.79669839467338,393.0755373862163,0.9994572328025876,0.0,1.0,0.0,1.0,0.0
