Year,Algo,Reward,GDP,Annual_CO2,Support,Investment,Risk,Atm_CO2,Temperature,Tax,GreenSub,CapStrict,IndSub,MixFund
1,SAC,0.9953429772518003,101.08794114122874,97.77862705260515,53.36759361767238,20.97807279229164,19.98883960103991,414.88893135263027,0.9999973232888442,0.0124388635,0.0104101,0.08187294,0.96110517,0.9260223
2,SAC,5.9218838964127505,102.26822515521653,95.61606365233659,56.526170477497104,21.963809490203857,19.96681422607868,414.6697345352471,0.9999920386276985,0.01132375,0.009161562,0.064949095,0.96008265,0.9399289
3,SAC,9.731187812151365,102.62674259127499,93.4476277461648,59.07770364932889,22.940378546714783,19.933894288116353,414.3421159225553,0.9999841347930412,0.01266861,0.009542406,0.06316733,0.9515745,0.928857
4,SAC,13.726665249706596,103.43449097405147,91.29721357017756,61.13484377443968,23.907500743865967,19.89017020693577,413.9069766010642,0.9999736273414677,0.0138987005,0.009903669,0.05893883,0.9439146,0.91760385
5,SAC,18.210215878086913,104.35320839248145,89.13707325518132,63.922398662516486,24.869065791368484,19.83559295235728,413.3638302638232,0.999960496298748,0.014912099,0.010261506,0.056997508,0.93782014,0.9102575
6,SAC,22.589253200485814,105.56373310426915,86.99481529176236,65.94877164105503,25.813113808631897,19.770252162742427,412.7135710284113,0.9999447529950648,0.016403705,0.010639757,0.05596435,0.92807615,0.89084923
7,SAC,26.668199321775724,106.10759952789874,84.94316844195129,68.88537761029355,26.71456804871559,19.694602846592527,411.9607294505089,0.9999264950770819,0.016984642,0.011018008,0.06297976,0.928355,0.8463642
8,SAC,30.2675980552002,107.75718561568436,83.80881071835758,70.48374771014997,27.38598495721817,19.61325348600786,411.1511699864268,0.9999068243682591,0.01777336,0.011650413,0.053582728,0.9072616,0.61316484
9,SAC,33.707834099339976,109.12376592396762,82.63674726098778,72.25203665975326,27.999227821826935,19.526014467582524,410.2830073494762,0.9998856866317453,0.018402457,0.012360871,0.06358528,0.84740263,0.5514385
10,SAC,36.95101268497261,110.61276181579717,81.62351180613042,73.69699880119956,28.519902795553207,19.433683626469573,409.3641829397827,0.9998632666245652,0.018460661,0.012786359,0.0711284,0.8000903,0.45674318
11,SAC,39.733073699199984,111.73734998249803,80.65329705506565,75.03263232304452,28.99572142958641,19.336476948773285,408.396847792536,0.9998396084759843,0.018250823,0.013186127,0.07940003,0.7788862,0.409888
12,SAC,42.612003193505984,113.09143693582614,79.75806642711164,76.25117377838639,29.428781300783157,19.23477102200853,407.3847511138916,0.9998147955309687,0.018104225,0.0135861635,0.08668679,0.76820445,0.36512905
13,SAC,46.06458562754724,114.36208012623456,78.85616407155992,78.76875200727872,29.832114040851593,19.128532153833813,406.3275593174696,0.9997888111043426,0.017913193,0.013993204,0.09587112,0.7523163,0.33336672
14,SAC,49.045850481283054,115.89948285696282,78.02380500644446,79.94758910033516,30.17784520983696,19.018109597014426,405.2287495677918,0.9997617320117622,0.017944455,0.014290303,0.103936344,0.72213787,0.27427965
15,SAC,51.891455058583816,116.83719167600397,76.72007411152126,81.10912884915825,30.563125669956207,18.901134652390095,404.06475327336784,0.9997329662526655,0.017596304,0.014329195,0.10951179,0.63556325,0.31363449
16,SAC,54.46525299716254,117.17581693773272,75.052706540823,82.19459712924181,30.973495811223984,18.77577982184045,402.817388600409,0.9997020480899775,0.017181605,0.014224231,0.11251098,0.5596359,0.33924899
17,SAC,57.28658794902789,118.12174485254116,73.35820434957743,82.50285823659098,31.378164440393448,18.64190836115662,401.4852988178879,0.9996689239683915,0.016821355,0.014187574,0.10587612,0.5288177,0.33373076
18,SAC,59.96749193973479,118.39904342883594,71.77284633994103,84.08261701608566,31.76456245779991,18.50006828601476,400.07394113488493,0.9996337086263132,0.016909808,0.014925957,0.095528394,0.5133472,0.31176823
19,SAC,62.74521536106897,119.53943238284539,70.51430840820075,84.78094335713406,32.11139187216759,18.351901460713535,398.599656555295,0.9995967902592017,0.017546833,0.015379757,0.08462578,0.54277754,0.26993063
